1,"(I, A, 2)","[S1, S2, S3, S4, S5, S6, S7]",[]
,"(E, B, 6)",,
,"(D, H, 3)",,
,"(G, I, 2)",,
2,"(B, F, 3)","[S1, S2, S3, S4, S5, S6, S7]","[S3, S5]"
,"(J, I, 1)",,
,"(I, F, 7)",,
,"(D, C, 6)",,
,"(H, E, 11)",,
3,"(A, G, 3)","[S1, S3, S4, S5, S6]",[]
,"(J, B, 8)",,
,"(F, B, 3)",,
,"(E, A, 6)",,
,"(C, I, 1)",,
4,"(A, C, 2)","[S1, S2, S3, S4, S6, S7]",[S7]
,"(A, J, 5)",,
,"(B, H, 2)",,
,"(J, F, 4)",,
,"(D, C, 1)",,
,"(B, A, 5)",,
,"(A, E, 4)",,
5,"(A, B, 1)","[S1, S2, S3, S4, S5, S6, S7]",[S5]
,"(D, E, 1)",,
,"(I, J, 1)",,
,"(J, A, 1)",,
,"(B, C, 1)",,
,"(F, G, 1)",,
,"(H, I, 1)",,
,"(E, F, 1)",,
,"(G, H, 1)",,
,"(C, D, 1)",,
6,"(A, I, 8)","[S1, S2, S3, S4, S5, S6, S7]","[S3, S5, S7]"
,"(J, D, 3)",,
,"(F, G, 4)",,
,"(E, B, 5)",,
,"(C, H, 7)",,
,"(G, J, 1)",,
7,"(G, J, 8)","[S1, S2, S3, S4, S5]",[S3]
,"(C, H, 3)",,
,"(E, B, 4)",,
,"(F, G, 5)",,
,"(J, D, 7)",,
,"(A, J, 1)",,
8,"(A, B, 3)","[S1, S2, S3, S4, S5, S6, S7]","[S1, S3]"
,"(E, C, 8)",,
,"(J, D, 10)",,
9,"(D, F, 6)","[S1, S2, S3, S4, S5, S6, S7]","[S1, S2]"
,"(I, J, 7)",,
,"(E, G, 3)",,
10,"(A, B, 1)","[S1, S2, S3, S4, S5, S6, S7]",
,"(D, E, 1)",,
,"(I, J, 1)",,
,"(J, A, 1)",,
,"(B, C, 1)",,
,"(F, G, 1)",,
,"(H, I, 1)",,
,"(E, F, 1)",,
,"(G, H, 1)",,
,"(C, D, 1)",,
,"(A, B, 1)",,
,"(D, E, 1)",,
,"(I, J, 1)",,
,"(J, A, 1)",,
,"(B, C, 1)",,
,"(F, G, 1)",,
,"(H, I, 1)",,
,"(E, F, 1)",,
,"(G, H, 1)",,
,"(C, D, 1)",,
,"(A, B, 1)",,
,"(D, E, 1)",,
,"(I, J, 1)",,
,"(J, A, 1)",,
,"(B, C, 1)",,
,"(F, G, 1)",,
,"(H, I, 1)",,
,"(E, F, 1)",,
,"(G, H, 1)",,
,"(C, D, 1)",,
,"(A, B, 1)",,
,"(D, E, 1)",,
,"(I, J, 1)",,
,"(J, A, 1)",,
,"(B, C, 1)",,
,"(F, G, 1)",,
,"(H, I, 1)",,
,"(E, F, 1)",,
,"(G, H, 1)",,
,"(C, D, 1)",,
,"(A, B, 1)",,
,"(D, E, 1)",,
,"(I, J, 1)",,
,"(J, A, 1)",,
,"(B, C, 1)",,
,"(F, G, 1)",,
,"(H, I, 1)",,
,"(E, F, 1)",,
,"(G, H, 1)",,
,"(C, D, 1)",,
